name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image2414,0.611,11.356,0.609,1179.503,0.1452,0.848,-0.232,5.087,4.649,6.707,8.777,44.000,0.577,47005.399,1.529,1.106,1.290,14.466,85.893,1.752,0.128,0.912,0.054,0.610,373424.654
Image2415,0.780,25.133,0.450,838.148,0.09859,1.221,-0.020,10.532,9.946,15.187,12.449,51.000,0.483,28853.311,1.720,2.027,2.088,15.293,87.315,2.746,0.180,1.116,0.110,0.670,373424.654
Image2416,0.852,34.372,0.700,935.891,0.1442,1.348,-1.975,29.464,10.749,23.622,10.717,27.800,0.595,35037.314,2.013,1.845,2.368,15.208,88.414,2.685,0.192,1.248,0.095,0.772,373424.654
Image2417,0.461,17.673,0.858,426.420,0.02180,0.639,0.396,6.239,4.725,12.948,20.137,20.700,0.218,32149.298,1.228,0.998,0.735,14.046,88.553,1.492,0.071,0.726,0.050,0.478,373424.654
Image2418,0.402,19.528,0.867,357.518,0.02321,0.565,-0.266,20.040,4.452,15.075,20.595,39.600,0.240,39186.822,1.047,0.883,0.650,14.575,88.156,1.300,0.065,0.638,0.044,0.407,373424.654
Image2419,0.584,27.092,0.457,617.494,0.07800,1.004,-1.697,26.519,7.578,19.514,10.991,136.200,0.444,29698.780,1.189,1.581,1.755,15.509,86.526,2.107,0.147,0.809,0.087,0.490,373424.654
Image2420,0.912,42.432,0.622,910.800,0.09885,1.385,0.102,10.843,12.167,30.265,12.727,48.400,0.493,23769.760,2.059,2.328,2.064,16.334,87.875,3.240,0.178,1.427,0.121,0.836,373424.654
Image2421,1.108,45.393,0.557,951.823,0.1789,1.778,-0.734,15.705,12.161,33.232,12.108,36.900,0.663,26123.653,1.901,2.768,3.086,20.692,84.314,3.979,0.287,1.689,0.147,0.908,373424.654
Image2422,0.546,30.275,0.535,458.053,0.05397,0.901,-5.397,118.647,5.794,24.481,11.569,32.600,0.367,36368.592,1.342,1.171,1.265,15.514,88.853,1.748,0.103,0.845,0.060,0.533,373424.654
Image2423,0.369,16.103,0.486,333.564,0.01640,0.531,0.388,8.555,4.274,11.829,21.524,25.400,0.190,46610.846,0.913,0.874,0.617,14.464,86.133,1.247,0.063,0.565,0.046,0.373,373424.654
